"id","month","state_name","state_code","energy_requirement","energy_availability"
0,"2020-01-01","Chandigarh","04",137.98,137.98
1,"2020-01-01","Lakshadweep","31",3.85,3.85
2,"2020-01-01","Bihar","10",2450.28,2447.67
3,"2020-01-01","DVC","None",1933.29,1933.29
4,"2020-01-01","Jharkhand","20",783.94,777.72
5,"2020-01-01","Odisha","21",2042.32,2042.32
6,"2020-01-01","West Bengal","19",3485.33,3482.25
7,"2020-01-01","Andaman- Nicobar","35",28.84,26.92
8,"2020-01-01","Arunachal Pradesh","12",69.26,68.97
9,"2020-01-01","Assam","18",684.06,669.16
10,"2020-01-01","Manipur","14",95.37,94.96
11,"2020-01-01","Meghalaya","17",212.95,198.11
12,"2020-01-01","Mizoram","15",60.75,60.44
13,"2020-01-01","Nagaland","13",71.59,71.2
14,"2020-01-01","Tripura","16",104.02,104.01
15,"2020-01-01","Dadra & Nagar Haveli and Daman & Diu","38",786.63,786.63
16,"2020-01-01","Puducherry","34",211.6,211.6
17,"2020-01-01","Tamil Nadu","33",8708.53,8708.32
18,"2020-01-01","Sikkim","11",56.53,56.53
19,"2020-01-01","Karnataka","29",7013.66,7013.52
20,"2020-01-01","Kerala","32",2242.37,2239.3
21,"2020-01-01","Haryana","06",3862.87,3862.87
22,"2020-01-01","Himachal Pradesh","02",931.24,930.64
23,"2020-01-01","UTs of J&K and Ladakh","None",1934.0,1699.59
24,"2020-01-01","Punjab","03",3396.62,3396.62
25,"2020-01-01","Rajasthan","08",7369.3,7366.63
26,"2020-01-01","Uttar Pradesh","09",8830.63,8725.87
27,"2020-01-01","Uttarakhand","05",1243.99,1243.45
28,"2020-01-01","Delhi","07",2290.02,2290.02
29,"2020-01-01","Gujarat","24",9440.01,9440.01
30,"2020-01-01","Madhya Pradesh","23",7423.43,7423.43
31,"2020-01-01","Maharashtra","27",13178.15,13178.15
32,"2020-01-01","Goa","30",413.8,413.8
33,"2020-01-01","Andhra Pradesh","28",5363.97,5363.85
34,"2020-01-01","Telangana","36",6346.88,6346.74
35,"2020-01-01","Chhattisgarh","22",2372.79,2372.37
36,"2020-02-01","Lakshadweep","31",3.85,3.85
37,"2020-02-01","Bihar","10",2153.39,2145.97
38,"2020-02-01","DVC","None",1883.74,1883.74
39,"2020-02-01","Jharkhand","20",718.99,702.84
40,"2020-02-01","Odisha","21",2084.51,2084.51
41,"2020-02-01","West Bengal","19",3515.62,3513.5
42,"2020-02-01","Sikkim","11",51.99,51.99
43,"2020-02-01","Andaman- Nicobar","35",28.84,26.92
44,"2020-02-01","Meghalaya","17",188.49,181.93
45,"2020-02-01","Assam","18",660.99,648.06
46,"2020-02-01","Manipur","14",84.34,83.86
47,"2020-02-01","Mizoram","15",57.3,57.02
48,"2020-02-01","Nagaland","13",63.63,63.14
49,"2020-02-01","Tripura","16",97.77,97.77
50,"2020-02-01","Dadra & Nagar Haveli and Daman & Diu","38",752.0,752.0
51,"2020-02-01","Arunachal Pradesh","12",61.93,61.68
52,"2020-02-01","Puducherry","34",218.18,218.16
53,"2020-02-01","Uttarakhand","05",1091.09,1091.09
54,"2020-02-01","Kerala","32",2193.13,2191.2
55,"2020-02-01","Chandigarh","04",109.18,109.18
56,"2020-02-01","Tamil Nadu","33",8890.71,8890.13
57,"2020-02-01","Haryana","06",3689.43,3689.43
58,"2020-02-01","Himachal Pradesh","02",835.65,820.83
59,"2020-02-01","UTs of J&K and Ladakh","None",1816.0,1434.0
60,"2020-02-01","Punjab","03",3489.04,3489.04
61,"2020-02-01","Rajasthan","08",7136.52,7129.82
62,"2020-02-01","Uttar Pradesh","09",8152.24,8046.07
63,"2020-02-01","Delhi","07",1904.8,1904.53
64,"2020-02-01","Chhattisgarh","22",2259.72,2259.72
65,"2020-02-01","Gujarat","24",9519.32,9519.32
66,"2020-02-01","Madhya Pradesh","23",7417.18,7417.18
67,"2020-02-01","Maharashtra","27",13350.87,13350.87
68,"2020-02-01","Goa","30",353.29,353.29
69,"2020-02-01","Andhra Pradesh","28",5698.67,5698.34
70,"2020-02-01","Telangana","36",6645.83,6645.5
71,"2020-02-01","Karnataka","29",7024.22,7023.83
72,"2020-03-01","Bihar","10",2163.01,2161.56
73,"2020-03-01","DVC","None",1583.37,1583.37
74,"2020-03-01","Jharkhand","20",702.29,698.41
75,"2020-03-01","Odisha","21",2215.73,2215.73
76,"2020-03-01","West Bengal","19",3719.27,3715.19
77,"2020-03-01","Sikkim","11",48.93,48.93
78,"2020-03-01","Arunachal Pradesh","12",59.7,59.41
79,"2020-03-01","Mizoram","15",59.2,58.97
80,"2020-03-01","Manipur","14",75.9,75.4
81,"2020-03-01","Meghalaya","17",164.33,160.03
82,"2020-03-01","Lakshadweep","31",3.85,3.85
83,"2020-03-01","Nagaland","13",64.42,64.11
84,"2020-03-01","Tripura","16",110.47,110.47
85,"2020-03-01","Dadra & Nagar Haveli and Daman & Diu","38",615.26,615.26
86,"2020-03-01","Assam","18",689.64,668.33
87,"2020-03-01","Puducherry","34",216.63,216.63
88,"2020-03-01","Andaman- Nicobar","35",28.84,26.92
89,"2020-03-01","Kerala","32",2378.56,2377.58
90,"2020-03-01","Chandigarh","04",90.0,90.0
91,"2020-03-01","Tamil Nadu","33",9449.18,9449.18
92,"2020-03-01","Himachal Pradesh","02",731.49,731.49
93,"2020-03-01","UTs of J&K and Ladakh","None",1706.98,1401.59
94,"2020-03-01","Punjab","03",2726.21,2726.21
95,"2020-03-01","Rajasthan","08",5795.68,5792.07
96,"2020-03-01","Uttar Pradesh","09",7295.8,7213.11
97,"2020-03-01","Uttarakhand","05",868.8,868.8
98,"2020-03-01","Delhi","07",1693.11,1692.62
99,"2020-03-01","Haryana","06",2862.01,2862.01
100,"2020-03-01","Gujarat","24",9008.3,9008.3
101,"2020-03-01","Madhya Pradesh","23",6018.13,6018.13
102,"2020-03-01","Maharashtra","27",13258.66,13258.66
103,"2020-03-01","Goa","30",339.02,339.02
104,"2020-03-01","Andhra Pradesh","28",5791.01,5791.01
105,"2020-03-01","Telangana","36",7028.12,7028.12
106,"2020-03-01","Karnataka","29",7415.97,7415.97
107,"2020-03-01","Chhattisgarh","22",2436.83,2436.83
108,"2020-04-01","DVC","None",856.78,856.78
109,"2020-04-01","Jharkhand","20",695.66,674.62
110,"2020-04-01","Odisha","21",2080.67,2080.67
111,"2020-04-01","West Bengal","19",3661.76,3650.16
112,"2020-04-01","Sikkim","11",42.05,42.05
113,"2020-04-01","Andaman- Nicobar","35",28.84,26.92
114,"2020-04-01","Mizoram","15",50.3,49.22
115,"2020-04-01","Assam","18",616.43,558.22
116,"2020-04-01","Manipur","14",65.04,63.76
117,"2020-04-01","Meghalaya","17",114.93,110.92
118,"2020-04-01","Nagaland","13",58.26,57.41
119,"2020-04-01","Tripura","16",104.05,102.49
120,"2020-04-01","Bihar","10",2316.85,2316.41
121,"2020-04-01","Arunachal Pradesh","12",35.54,34.24
122,"2020-04-01","Lakshadweep","31",5.11,5.11
123,"2020-04-01","Puducherry","34",151.88,151.88
124,"2020-04-01","Delhi","07",1670.53,1670.36
125,"2020-04-01","Dadra & Nagar Haveli and Daman & Diu","38",155.8,155.8
126,"2020-04-01","Chandigarh","04",75.8,75.8
127,"2020-04-01","Tamil Nadu","33",7233.48,7233.48
128,"2020-04-01","Haryana","06",2512.86,2512.86
129,"2020-04-01","Himachal Pradesh","02",439.38,436.74
130,"2020-04-01","UTs of J&K and Ladakh","None",1568.32,1272.28
131,"2020-04-01","Rajasthan","08",4866.65,4865.18
132,"2020-04-01","Uttar Pradesh","09",8195.71,8118.74
133,"2020-04-01","Uttarakhand","05",674.09,674.09
134,"2020-04-01","Punjab","03",2286.83,2286.83
135,"2020-04-01","Gujarat","24",7496.44,7496.44
136,"2020-04-01","Madhya Pradesh","23",5360.26,5360.26
137,"2020-04-01","Maharashtra","27",11441.74,11441.74
138,"2020-04-01","Goa","30",281.73,281.73
139,"2020-04-01","Andhra Pradesh","28",4788.36,4788.36
140,"2020-04-01","Telangana","36",4780.9,4780.9
141,"2020-04-01","Karnataka","29",6168.17,6168.17
142,"2020-04-01","Kerala","32",2046.68,2045.23
143,"2020-04-01","Chhattisgarh","22",2136.3,2136.3
144,"2020-05-01","Andaman- Nicobar","35",28.84,26.92
145,"2020-05-01","DVC","None",1424.2,1424.2
146,"2020-05-01","Jharkhand","20",760.05,736.06
147,"2020-05-01","Odisha","21",2374.99,2374.99
148,"2020-05-01","West Bengal","19",3737.19,3686.2
149,"2020-05-01","Sikkim","11",40.9,40.9
150,"2020-05-01","Arunachal Pradesh","12",43.78,43.59
151,"2020-05-01","Bihar","10",2753.1,2746.02
152,"2020-05-01","Manipur","14",70.84,70.59
153,"2020-05-01","Meghalaya","17",146.23,143.06
154,"2020-05-01","Mizoram","15",55.22,55.0
155,"2020-05-01","Nagaland","13",64.51,64.3
156,"2020-05-01","Tripura","16",123.79,123.14
157,"2020-05-01","Dadra & Nagar Haveli and Daman & Diu","38",376.47,376.47
158,"2020-05-01","Assam","18",741.17,691.12
159,"2020-05-01","Lakshadweep","31",5.33,5.33
160,"2020-05-01","Delhi","07",2522.68,2522.68
161,"2020-05-01","Tamil Nadu","33",8830.58,8830.58
162,"2020-05-01","Chandigarh","04",115.3,115.3
163,"2020-05-01","Haryana","06",3899.19,3899.19
164,"2020-05-01","Puducherry","34",228.6,228.6
165,"2020-05-01","Himachal Pradesh","02",681.72,681.61
166,"2020-05-01","UTs of J&K and Ladakh","None",1620.34,1309.14
167,"2020-05-01","Punjab","03",4032.29,4032.29
