date,total_gen_actual,total_gen_programmed,total_capacity,active_stations,wind_energy,solar_energy,other_renewable_energy,total_renewable_energy,total_generation,renewable_share_pct,gen_deviation_pct,year,week,month_start,dow
2017-09-01,3119.25,3463.59,270418.43,482,,,,,3119.25,0.0,-9.94,2017,35,2017-09-01,4
2017-09-02,3151.28,3463.59,270418.43,482,,,,,3151.28,0.0,-9.02,2017,35,2017-09-01,5
2017-09-03,3098.85,3463.45,270418.43,482,,,,,3098.85,0.0,-10.53,2017,35,2017-09-01,6
2017-09-04,3307.26,3463.45,270418.43,482,,,,,3307.26,0.0,-4.51,2017,36,2017-09-01,0
2017-09-05,3342.52,3476.53,270418.43,482,,,,,3342.52,0.0,-3.85,2017,36,2017-09-01,1
2017-09-06,3424.19,3494.21,270778.43,482,,,,,3424.19,0.0,-2.0,2017,36,2017-09-01,2
2017-09-07,3474.41,3503.74,270778.43,482,,,,,3474.41,0.0,-0.84,2017,36,2017-09-01,3
2017-09-08,3496.14,3514.13,270778.43,482,,,,,3496.14,0.0,-0.51,2017,36,2017-09-01,4
2017-09-09,3533.14,3520.01,270778.43,482,,,,,3533.14,0.0,0.37,2017,36,2017-09-01,5
2017-09-10,3507.05,3511.8,270778.43,482,,,,,3507.05,0.0,-0.14,2017,36,2017-09-01,6
2017-09-11,3587.64,3515.05,270778.43,482,,,,,3587.64,0.0,2.07,2017,37,2017-09-01,0
2017-09-12,3610.9,3515.05,270778.43,482,,,,,3610.9,0.0,2.73,2017,37,2017-09-01,1
2017-09-13,3625.23,3519.83,270778.43,482,,,,,3625.23,0.0,2.99,2017,37,2017-09-01,2
2017-09-14,3563.73,3525.24,270778.43,482,,,,,3563.73,0.0,1.09,2017,37,2017-09-01,3
2017-09-15,3563.19,3552.25,270778.43,482,,,,,3563.19,0.0,0.31,2017,37,2017-09-01,4
2017-09-16,3498.51,3565.46,270778.43,482,,,,,3498.51,0.0,-1.88,2017,37,2017-09-01,5
2017-09-17,3271.64,3556.58,270778.43,482,,,,,3271.64,0.0,-8.01,2017,37,2017-09-01,6
2017-09-18,3262.36,3556.58,270778.43,482,,,,,3262.36,0.0,-8.27,2017,38,2017-09-01,0
2017-09-19,3286.67,3556.58,270790.43,482,,,,,3286.67,0.0,-7.59,2017,38,2017-09-01,1
2017-09-20,3296.12,3541.31,270790.43,482,,,,,3296.12,0.0,-6.92,2017,38,2017-09-01,2
2017-09-21,3378.49,3553.51,270790.43,482,,,,,3378.49,0.0,-4.93,2017,38,2017-09-01,3
2017-09-22,1030.05,1189.25,270790.43,482,,,,,1030.05,0.0,-13.39,2017,38,2017-09-01,4
2017-09-23,3300.68,3548.0,270790.43,482,,,,,3300.68,0.0,-6.97,2017,38,2017-09-01,5
2017-09-24,3273.41,3552.43,270790.43,482,,,,,3273.41,0.0,-7.85,2017,38,2017-09-01,6
2017-09-25,3395.14,3556.26,270790.43,482,,,,,3395.14,0.0,-4.53,2017,39,2017-09-01,0
2017-09-26,3462.33,3558.86,270940.43,483,,,,,3462.33,0.0,-2.71,2017,39,2017-09-01,1
2017-09-27,3467.31,3558.86,270940.43,483,,,,,3467.31,0.0,-2.57,2017,39,2017-09-01,2
2017-09-28,3416.35,3562.75,270940.43,483,,,,,3416.35,0.0,-4.11,2017,39,2017-09-01,3
2017-09-29,3318.11,3573.26,270940.43,483,,,,,3318.11,0.0,-7.14,2017,39,2017-09-01,4
2017-09-30,3221.0,3573.26,270940.43,483,,,,,3221.0,0.0,-9.86,2017,39,2017-09-01,5
2017-10-03,3379.05,3347.23,270940.43,483,,,,,3379.05,0.0,0.95,2017,40,2017-10-01,1
2017-10-04,3437.9,3347.23,270940.43,483,,,,,3437.9,0.0,2.71,2017,40,2017-10-01,2
2017-10-05,3484.36,3342.75,270940.43,483,,,,,3484.36,0.0,4.24,2017,40,2017-10-01,3
2017-10-06,3462.7,3348.36,270940.43,483,,,,,3462.7,0.0,3.41,2017,40,2017-10-01,4
2017-10-07,3461.76,3348.36,270940.43,483,,,,,3461.76,0.0,3.39,2017,40,2017-10-01,5
2017-10-08,3323.39,3357.2400000000002,270940.43,483,,,,,3323.39,0.0,-1.01,2017,40,2017-10-01,6
2017-10-09,3376.8,3361.72,270940.43,483,,,,,3376.8,0.0,0.45,2017,41,2017-10-01,0
2017-10-10,3420.03,3361.72,270940.43,483,,,,,3420.03,0.0,1.73,2017,41,2017-10-01,1
2017-10-11,3424.93,3377.72,270940.43,483,,,,,3424.93,0.0,1.4,2017,41,2017-10-01,2
2017-10-12,3438.39,3377.72,270940.43,483,,,,,3438.39,0.0,1.8,2017,41,2017-10-01,3
2017-10-13,3424.22,3377.72,270940.43,483,,,,,3424.22,0.0,1.38,2017,41,2017-10-01,4
2017-10-14,3376.88,3374.68,270940.43,483,,,,,3376.88,0.0,0.07,2017,41,2017-10-01,5
2017-10-15,3223.39,3385.2400000000002,270940.43,483,,,,,3223.39,0.0,-4.78,2017,41,2017-10-01,6
2017-10-16,3257.46,3386.2,270940.43,483,,,,,3257.46,0.0,-3.8,2017,42,2017-10-01,0
2017-10-17,3368.83,3389.2400000000002,270940.43,483,,,,,3368.83,0.0,-0.6,2017,42,2017-10-01,1
2017-10-18,3278.81,3376.2400000000002,270940.43,483,,,,,3278.81,0.0,-2.89,2017,42,2017-10-01,2
2017-10-19,3090.62,3388.72,270940.43,483,,,,,3090.62,0.0,-8.8,2017,42,2017-10-01,3
2017-10-20,2988.78,3350.9,270940.43,483,,,,,2988.78,0.0,-10.81,2017,42,2017-10-01,4
2017-10-21,2999.54,3339.85,270940.43,483,,,,,2999.54,0.0,-10.19,2017,42,2017-10-01,5
2017-10-22,2995.82,3335.28,270940.43,483,,,,,2995.82,0.0,-10.18,2017,42,2017-10-01,6
2017-10-23,3197.21,3343.59,270940.43,483,,,,,3197.21,0.0,-4.38,2017,43,2017-10-01,0
2017-10-24,3327.6,3341.11,270905.43,483,,,,,3327.6,0.0,-0.4,2017,43,2017-10-01,1
2017-10-25,3349.66,3350.98,270905.43,483,,,,,3349.66,0.0,-0.04,2017,43,2017-10-01,2
2017-10-26,3309.32,3350.98,270905.43,483,,,,,3309.32,0.0,-1.24,2017,43,2017-10-01,3
2017-10-27,3307.66,3353.06,270905.43,483,,,,,3307.66,0.0,-1.35,2017,43,2017-10-01,4
2017-10-28,3292.0,3342.13,270905.43,483,,,,,3292.0,0.0,-1.5,2017,43,2017-10-01,5
2017-10-29,3191.4,3342.13,270905.43,483,,,,,3191.4,0.0,-4.51,2017,43,2017-10-01,6
2017-10-30,3213.1,3342.13,270905.43,483,,,,,3213.1,0.0,-3.86,2017,44,2017-10-01,0
2017-10-31,3229.81,3349.13,270905.43,483,,,,,3229.81,0.0,-3.56,2017,44,2017-10-01,1
2017-11-01,3195.06,3147.82,270905.43,483,,,,,3195.06,0.0,1.5,2017,44,2017-11-01,2
2017-11-02,3208.6,3147.82,270905.43,483,,,,,3208.6,0.0,1.93,2017,44,2017-11-01,3
2017-11-03,3200.07,3149.21,270905.43,483,,,,,3200.07,0.0,1.62,2017,44,2017-11-01,4
2017-11-04,3140.63,3149.21,270905.43,483,,,,,3140.63,0.0,-0.27,2017,44,2017-11-01,5
2017-11-05,3049.09,3151.4,270905.43,483,,,,,3049.09,0.0,-3.25,2017,44,2017-11-01,6
2017-11-06,3169.5,3151.4,270905.43,483,,,,,3169.5,0.0,0.57,2017,45,2017-11-01,0
2017-11-07,3220.89,3155.15,270905.43,483,,,,,3220.89,0.0,2.08,2017,45,2017-11-01,1
2017-11-08,3244.21,3164.94,270905.43,483,,,,,3244.21,0.0,2.5,2017,45,2017-11-01,2
2017-11-09,3273.53,3167.44,271062.43,483,,,,,3273.53,0.0,3.35,2017,45,2017-11-01,3
2017-11-10,3236.82,3162.33,271062.43,483,,,,,3236.82,0.0,2.36,2017,45,2017-11-01,4
